Gene-symbol,GSE15471-Adj-Pval,GSE15471-logFC,GSE16515-Adj-Pval,GSE16515-logFC,GSE28735-Adj-Pval,GSE28735-logFC
CST2,2.01e-08,1.80213342,0.009968079,1.2489128,2.04e-08,1.2321847
SLPI,2.81e-13,2.67459132,1.22e-06,3.3129465,1.84e-08,1.7899024
TFF1,0.000148301,2.39909674,5.29e-05,4.6834284,1.29e-06,1.9432884
MMP11,3.59e-08,1.96177983,1.8e-05,2.6722979,6.55e-09,1.5014524
APOL1,1.4e-09,1.11856761,2.24e-05,1.9469703,1.93e-09,1.5050227
LRRN1,1.58e-11,1.68745871,0.00047304,1.5438467,5.13e-06,1.1022207
SLC6A6,1.55e-12,2.68187019,0.00670714,1.825323,8.15e-08,1.2712856
CLDN18,4.98e-05,2.086419,6.05e-07,5.1482985,1.21e-07,2.1265416
ECT2,6.52e-10,2.18367354,7.93e-07,2.6583616,1.34e-09,1.3293738
IL1RAP,8.31e-10,1.00316641,0.000117515,1.6133246,2.31e-08,1.0983738
DCBLD2,1.53e-11,1.66253509,0.00104686,1.111635,9.91e-07,1.0321687
CP,2.28e-07,2.17631976,0.000723787,2.1604146,4.81e-05,1.767232
S100P,3.02e-10,3.66658089,8.35e-09,6.2580134,4.61e-12,1.2260793
PCDH7,2.19e-06,1.22868649,2.15e-05,1.9377309,2.27e-09,1.0136969
AREG,4.11e-06,1.95574758,0.00254974,1.9826671,0.003753692,1.0105213
ANXA3,4.38e-07,1.49208035,7.43e-05,1.9301469,7.91e-06,1.0462073
ANXA10,0.000131592,2.00705104,8.3e-05,3.2509851,2.72e-08,2.3579367
CORIN,1.11e-07,1.80041916,0.004163352,1.4909615,1.52e-06,1.0800867
NMU,9.28e-07,1.741711,1.29e-08,3.4424442,8.69e-08,1.0295189
CXCL5,1.21e-10,3.75164033,2.21e-05,4.6195831,4.2e-07,1.5615738
PLAC8,0.001090608,1.69996462,0.000693067,3.5791825,1.48e-07,1.8359027
LEF1,3.35e-09,2.75342766,0.009967007,2.4864991,1.44e-08,1.3104127
INPP4B,7.91e-10,1.61525246,6.81e-05,2.0135053,1.16e-08,1.12227
DDX60,1.31e-07,1.55703481,0.000294354,1.5469602,1.03e-06,1.0535862
NPR3,1.07e-07,1.42535705,7.97e-05,1.8797023,2.3e-06,1.2844418
RAI14,1.77e-08,1.43740669,0.000442727,1.2529126,2.92e-07,1.0131847
ITGA2,1.29e-11,1.38190767,3.49e-05,2.6491086,1.44e-10,2.2658244
GABRP,3.02e-08,3.01817945,8.13e-06,3.6208516,5.89e-06,2.0308344
ADAMTS12,8.07e-16,2.42053266,0.005248631,1.8683158,8.49e-09,1.4163264
ADAMTS6,4.31e-08,1.08645267,0.000455211,1.1985481,6.71e-08,1.038462
EFNA5,8.56e-10,1.35782403,4.48e-07,1.3028334,1.85e-09,1.1553482
FOXQ1,4.72e-07,1.95639952,3.63e-05,2.5948572,1.26e-08,1.1159918
DPCR1,0.002721183,1.16453163,7.85e-08,4.5738708,1.96e-07,2.1386271
CD109,1.65e-10,2.35811014,0.00676171,1.9508099,3.98e-07,1.2498704
NT5E,2.92e-05,1.57562593,0.004507729,1.4684677,1.09e-05,1.208268
SLC22A3,1.2e-05,1.09781014,7.33e-05,1.6463225,8.42e-06,1.14787
