Gene,p.value,P.adjusted.BH,logFC,Gene.symbol
240502_at,4.86e-07,4.58e-05,1.3487252,nan
240861_at,3.67e-05,0.001094954,1.8379272,nan
240991_at,4.84e-05,0.001340737,1.0968328,nan
241137_at,2.89e-09,1.05e-06,3.7233879,DPCR1
241140_at,3.8e-10,2.35e-07,1.7957053,LMO7
241726_at,7.92e-05,0.001914188,1.144883,nan
241780_at,4.56e-06,0.000237871,1.1979162,nan
241812_at,7.34e-06,0.000342284,1.2391057,SPATS2L
241872_at,1e-05,0.000429011,1.7318397,nan
241898_at,1.11e-08,2.72e-06,1.5957645,LIPH
241954_at,3.8e-07,3.77e-05,1.152355,FDFT1
241994_at,4.84e-05,0.001339893,2.6557398,XDH
242037_at,1.18e-07,1.62e-05,1.1415391,ASPH
242181_at,0.00012767,0.002703537,1.101725,nan
242228_at,2.87e-05,0.000921949,1.2349028,BICD1
242234_at,1.99e-06,0.000130552,1.9791882,XAF1
242271_at,8.3e-06,0.000374422,2.2721646,SLC26A9
242397_at,0.000314654,0.005131139,2.6077539,nan
242598_at,0.00051586,0.007238604,1.0679828,nan
242625_at,2.88e-05,0.000925666,1.9532983,RSAD2
242662_at,1.69e-09,7.03e-07,1.7375654,PCSK6
242710_at,0.000674315,0.008608319,1.0122052,nan
242722_at,1.24e-07,1.66e-05,1.8984404,LMO7
242963_at,0.000337634,0.005397236,1.0129813,SGMS2
243154_at,2.92e-05,0.000934773,1.1953705,nan
243252_at,0.000137781,0.002850244,1.0791481,nan
243271_at,0.000765765,0.009298606,1.3678951,nan
243276_at,2.35e-08,4.91e-06,1.345334,ALS2CL
243395_at,8.4e-08,1.27e-05,2.209912,nan
243409_at,1.11e-08,2.72e-06,1.8899021,FOXL1
243444_at,0.000199489,0.003720865,1.0999523,SRD5A3
243463_s_at,0.000480383,0.006892336,1.0136819,RIT1
243543_at,6.49e-07,5.69e-05,1.2632619,nan
243764_at,5.2e-08,8.79e-06,3.2587786,VSIG1
244056_at,3.66e-09,1.23e-06,3.1142946,SFTA2
244384_at,2.06e-06,0.000133695,1.4395349,nan
244612_at,6.57e-08,1.06e-05,1.6533267,nan
244780_at,3.39e-07,3.47e-05,2.7713717,SGPP2
31845_at,0.000413024,0.006232789,1.4697237,ELF4
33304_at,0.000220664,0.003994949,1.6534826,ISG20
33322_i_at,1.09e-08,2.69e-06,3.5621874,SFN
33323_r_at,4.84e-08,8.34e-06,4.2255607,SFN
36711_at,0.000736303,0.009079191,1.0440337,MAFF
36742_at,4.21e-05,0.001208514,1.569439,TRIM15
36936_at,1.58e-09,6.69e-07,1.2077906,TSTA3
37117_at,3.77e-05,0.001115364,1.1595814,PRR5-ARHGAP8///ARHGAP8
37512_at,1.11e-06,8.48e-05,1.6425015,HSD17B6
37892_at,1.17e-05,0.000475381,4.265263,COL11A1
38037_at,0.000731765,0.00905595,1.275061,HBEGF
40472_at,6.27e-08,1.02e-05,1.9527661,LPCAT4
41469_at,9.91e-10,4.75e-07,2.9084563,PI3
41660_at,7.06e-11,6.42e-08,1.5516319,CELSR1
46323_at,1.47e-06,0.000103597,1.1456076,CANT1
60474_at,1.01e-09,4.78e-07,2.2539068,FERMT1
65517_at,6.48e-05,0.00166307,1.2478068,AP1M2
90265_at,4.7e-08,8.13e-06,1.1597233,ADAP1
91703_at,0.00055746,0.007614951,1.5256821,EHBP1L1
91816_f_at,3.51e-06,0.000197514,1.5003259,MEX3D
91826_at,5.32e-10,2.93e-07,2.5305072,EPS8L1
